Unnamed: 0,Key,ExitTime,Symbol,EntryPrice,ExitPrice,Quantity,Pnl,ExitType,SignalType,Date
0,2020-11-26 09:30:00,2020-11-26 09:45:00,BANKNIFTY26NOV2029400PE,249.95,358.95,-25,-2725.0,SlHit,VolPattern,2020-11-26
0,2020-11-27 09:30:00,2020-11-27 09:51:00,NIFTY03DEC2012950CE,149.95,130.5,-75,1458.749999999999,Target hit,VolPattern,2020-11-27
0,2020-12-01 10:25:00,2020-12-01 10:28:00,NIFTY03DEC2013050CE,88.35000000000001,93.25,-75,-367.4999999999994,SlHit,VolPattern,2020-12-01
0,2020-12-01 11:04:00,2020-12-01 11:56:00,BANKNIFTY03DEC2029700CE,436.0,455.85,-25,-496.25000000000057,SlHit,VolPattern,2020-12-01
1,2020-12-01 12:04:00,2020-12-01 14:13:00,BANKNIFTY03DEC2029700CE,437.55,449.35,-25,-295.0000000000003,SlHit,VolPattern,2020-12-01
2,2020-12-01 14:26:00,2020-12-01 14:35:00,BANKNIFTY03DEC2029700CE,427.7,452.5,-25,-620.0000000000002,SlHit,VolPattern,2020-12-01
0,2020-12-01 09:25:00,2020-12-01 10:41:00,NIFTY03DEC2013050PE,133.95,86.25,-75,3577.499999999999,Target hit,VolPattern,2020-12-01
0,2020-12-01 09:45:00,2020-12-01 14:58:00,BANKNIFTY03DEC2029700PE,430.25,234.7,-25,4888.75,Target hit,VolPattern,2020-12-01
0,2020-12-02 09:30:00,2020-12-02 12:57:00,NIFTY03DEC2013050CE,109.0,64.05,-75,3371.25,Target hit,VolPattern,2020-12-02
0,2020-12-02 09:20:00,2020-12-02 09:21:00,BANKNIFTY03DEC2029600CE,378.55,416.8,-25,-956.25,SlHit,VolPattern,2020-12-02
1,2020-12-02 09:59:00,2020-12-02 12:55:00,BANKNIFTY03DEC2029700CE,332.5,195.2,-25,3432.5000000000005,Target hit,VolPattern,2020-12-02
0,2020-12-02 12:30:00,2020-12-02 12:57:00,NIFTY03DEC2013150PE,84.0,113.9,-75,-2242.5000000000005,SlHit,VolPattern,2020-12-02
0,2020-12-02 09:40:00,2020-12-02 10:18:00,BANKNIFTY03DEC2029900PE,363.0,411.0,-25,-1200.0,SlHit,VolPattern,2020-12-02
1,2020-12-02 10:49:00,2020-12-02 11:09:00,BANKNIFTY03DEC2029800PE,329.95,362.3,-25,-808.7500000000006,SlHit,VolPattern,2020-12-02
2,2020-12-02 11:21:00,2020-12-02 11:27:00,BANKNIFTY03DEC2029800PE,347.4,370.0,-25,-565.0000000000006,SlHit,VolPattern,2020-12-02
3,2020-12-02 12:17:00,2020-12-02 12:55:00,BANKNIFTY03DEC2029600PE,248.75,275.0,-25,-656.25,SlHit,VolPattern,2020-12-02
0,2020-12-03 09:37:00,2020-12-03 10:21:00,NIFTY03DEC2013100CE,70.9,85.4,-75,-1087.5,SlHit,VolPattern,2020-12-03
1,2020-12-03 10:47:00,2020-12-03 14:18:00,NIFTY03DEC2013100CE,77.60000000000001,32.55,-75,3378.750000000001,Target hit,VolPattern,2020-12-03
0,2020-12-03 09:39:00,2020-12-03 09:46:00,BANKNIFTY03DEC2029600CE,147.54999999999998,164.4,-25,-421.25000000000057,SlHit,VolPattern,2020-12-03
1,2020-12-03 10:41:00,2020-12-03 12:21:00,BANKNIFTY03DEC2029700CE,160.54999999999998,74.5,-25,2151.2499999999995,Target hit,VolPattern,2020-12-03
0,2020-12-03 10:15:00,2020-12-03 10:57:00,NIFTY03DEC2013200PE,59.45,69.55,-75,-757.4999999999995,SlHit,VolPattern,2020-12-03
0,2020-12-03 09:47:00,2020-12-03 12:22:00,BANKNIFTY03DEC2029700PE,208.8,238.8,-25,-750.0000000000007,SlHit,VolPattern,2020-12-03
0,2020-12-04 10:25:00,2020-12-04 10:30:00,NIFTY10DEC2013150CE,154.95,163.7,-75,-656.25,SlHit,VolPattern,2020-12-04
0,2020-12-04 10:46:00,2020-12-04 11:20:00,BANKNIFTY10DEC2029900CE,443.95,369.2,-25,1868.75,Target hit,VolPattern,2020-12-04
0,2020-12-04 09:21:00,2020-12-04 10:30:00,NIFTY10DEC2013250PE,143.95,110.0,-75,2546.249999999999,Target hit,VolPattern,2020-12-04
0,2020-12-04 09:44:00,2020-12-04 10:16:00,BANKNIFTY10DEC2029700PE,466.75,371.2,-25,2388.7500000000005,Target hit,VolPattern,2020-12-04
0,2020-12-07 10:16:00,2020-12-07 12:08:00,NIFTY10DEC2013250CE,111.0,121.8,-75,-809.9999999999998,SlHit,VolPattern,2020-12-07
1,2020-12-07 12:30:00,2020-12-07 12:54:00,NIFTY10DEC2013350CE,68.9,74.85,-75,-446.2499999999992,SlHit,VolPattern,2020-12-07
0,2020-12-07 09:25:00,2020-12-07 12:08:00,NIFTY10DEC2013350PE,132.75,85.85,-75,3517.5000000000005,Target hit,VolPattern,2020-12-07
0,2020-12-07 09:37:00,2020-12-07 10:16:00,BANKNIFTY10DEC2030100PE,400.25,426.9,-25,-666.2499999999994,SlHit,VolPattern,2020-12-07
1,2020-12-07 10:36:00,2020-12-07 12:15:00,BANKNIFTY10DEC2030100PE,410.0,255.35,-25,3866.25,Target hit,VolPattern,2020-12-07
0,2020-12-08 10:10:00,2020-12-08 10:16:00,NIFTY10DEC2013350CE,111.45,118.35,-75,-517.4999999999993,SlHit,VolPattern,2020-12-08
1,2020-12-08 10:30:00,2020-12-08 11:26:00,NIFTY10DEC2013400CE,90.35,50.8,-75,2966.250000000001,Target hit,VolPattern,2020-12-08
0,2020-12-08 10:56:00,2020-12-08 12:35:00,BANKNIFTY10DEC2030100CE,376.95,407.8,-25,-771.2500000000006,SlHit,VolPattern,2020-12-08
0,2020-12-08 09:21:00,2020-12-08 11:24:00,NIFTY10DEC2013400PE,96.2,108.1,-75,-892.4999999999993,SlHit,VolPattern,2020-12-08
0,2020-12-08 09:31:00,2020-12-08 11:04:00,BANKNIFTY10DEC2030300PE,393.4,422.25,-25,-721.2500000000006,SlHit,VolPattern,2020-12-08
1,2020-12-08 12:30:00,2020-12-08 15:14:00,BANKNIFTY10DEC2030300PE,349.95,317.2,-25,818.75,,VolPattern,2020-12-08
0,2020-12-09 11:28:00,2020-12-09 11:37:00,NIFTY10DEC2013450CE,76.0,79.55,-75,-266.2499999999998,SlHit,VolPattern,2020-12-09
1,2020-12-09 12:06:00,2020-12-09 13:28:00,NIFTY10DEC2013500CE,52.8,56.85,-75,-303.7499999999998,SlHit,VolPattern,2020-12-09
0,2020-12-09 09:25:00,2020-12-09 09:48:00,BANKNIFTY10DEC2030400CE,239.95,254.75,-25,-370.0000000000003,SlHit,VolPattern,2020-12-09
1,2020-12-09 12:07:00,2020-12-09 12:11:00,BANKNIFTY10DEC2030400CE,251.05,261.65,-25,-264.9999999999999,SlHit,VolPattern,2020-12-09
2,2020-12-09 12:39:00,2020-12-09 13:11:00,BANKNIFTY10DEC2030400CE,252.05,269.85,-25,-445.000000000001,SlHit,VolPattern,2020-12-09
3,2020-12-09 13:22:00,2020-12-09 13:25:00,BANKNIFTY10DEC2030400CE,262.05,274.15,-25,-302.49999999999915,SlHit,VolPattern,2020-12-09
4,2020-12-09 13:41:00,2020-12-09 13:44:00,BANKNIFTY10DEC2030500CE,253.45,271.75,-25,-457.5000000000003,SlHit,VolPattern,2020-12-09
0,2020-12-09 09:30:00,2020-12-09 15:14:00,NIFTY10DEC2013450PE,61.95,22.1,-75,2988.75,,VolPattern,2020-12-09
0,2020-12-09 09:20:00,2020-12-09 09:28:00,BANKNIFTY10DEC2030500PE,317.95,339.65,-25,-542.4999999999998,SlHit,VolPattern,2020-12-09
1,2020-12-09 09:42:00,2020-12-09 13:56:00,BANKNIFTY10DEC2030400PE,263.1,116.1,-25,3674.999999999999,Target hit,VolPattern,2020-12-09
0,2020-12-10 09:22:00,2020-12-10 10:05:00,NIFTY10DEC2013450CE,58.0,23.0,-75,2625.0,Target hit,VolPattern,2020-12-10
0,2020-12-10 09:21:00,2020-12-10 10:26:00,BANKNIFTY10DEC2030500CE,177.79999999999998,90.2,-25,2189.9999999999995,Target hit,VolPattern,2020-12-10
0,2020-12-10 10:19:00,2020-12-10 11:56:00,NIFTY10DEC2013500PE,85.0,101.65,-75,-1248.7500000000005,SlHit,VolPattern,2020-12-10
1,2020-12-10 12:04:00,2020-12-10 14:31:00,NIFTY10DEC2013450PE,51.650000000000006,12.5,-75,2936.2500000000005,Target hit,VolPattern,2020-12-10
0,2020-12-10 10:21:00,2020-12-10 10:27:00,BANKNIFTY10DEC2030500PE,191.1,212.85,-25,-543.75,SlHit,VolPattern,2020-12-10
1,2020-12-10 10:48:00,2020-12-10 11:52:00,BANKNIFTY10DEC2030400PE,151.89999999999998,174.9,-25,-575.0000000000007,SlHit,VolPattern,2020-12-10
0,2020-12-11 11:11:00,2020-12-11 12:32:00,NIFTY17DEC2013500CE,137.95,143.8,-75,-438.7500000000017,SlHit,VolPattern,2020-12-11
1,2020-12-11 12:47:00,2020-12-11 13:58:00,NIFTY17DEC2013500CE,144.29999999999998,101.5,-75,3209.999999999998,Target hit,VolPattern,2020-12-11
0,2020-12-11 10:01:00,2020-12-11 13:57:00,BANKNIFTY17DEC2030600CE,490.65,363.15,-25,3187.5,Target hit,VolPattern,2020-12-11
0,2020-12-11 09:34:00,2020-12-11 12:32:00,NIFTY17DEC2013600PE,136.54999999999998,116.0,-75,1541.2499999999986,Target hit,VolPattern,2020-12-11
0,2020-12-11 09:20:00,2020-12-11 11:29:00,BANKNIFTY17DEC2030700PE,439.8,494.0,-25,-1354.9999999999998,SlHit,VolPattern,2020-12-11
0,2020-12-14 09:27:00,2020-12-14 12:55:00,NIFTY17DEC2013500CE,143.14999999999998,92.6,-75,3791.249999999999,Target hit,VolPattern,2020-12-14
0,2020-12-14 09:35:00,2020-12-14 09:37:00,BANKNIFTY17DEC2030600CE,430.3,458.1,-25,-695.0000000000002,SlHit,VolPattern,2020-12-14
1,2020-12-14 09:47:00,2020-12-14 15:14:00,BANKNIFTY17DEC2030700CE,407.2,367.0,-25,1004.9999999999998,,VolPattern,2020-12-14
0,2020-12-14 10:23:00,2020-12-14 11:04:00,BANKNIFTY17DEC2030900PE,403.25,451.2,-25,-1198.7499999999998,SlHit,VolPattern,2020-12-14
1,2020-12-14 11:35:00,2020-12-14 12:56:00,BANKNIFTY17DEC2030800PE,353.4,404.1,-25,-1267.5000000000011,SlHit,VolPattern,2020-12-14
2,2020-12-14 14:30:00,2020-12-14 14:55:00,BANKNIFTY17DEC2030900PE,370.75,393.55,-25,-570.0000000000002,SlHit,VolPattern,2020-12-14
0,2020-12-15 09:31:00,2020-12-15 12:52:00,NIFTY17DEC2013450CE,118.05,127.35,-75,-697.4999999999998,SlHit,VolPattern,2020-12-15
0,2020-12-15 09:20:00,2020-12-15 14:10:00,BANKNIFTY17DEC2030600CE,319.4,338.2,-25,-470.0000000000003,SlHit,VolPattern,2020-12-15
0,2020-12-15 11:05:00,2020-12-15 12:07:00,NIFTY17DEC2013500PE,91.6,73.65,-75,1346.2500000000002,Target hit,VolPattern,2020-12-15
0,2020-12-15 10:32:00,2020-12-15 10:36:00,BANKNIFTY17DEC2030500PE,340.4,354.2,-25,-345.0000000000003,SlHit,VolPattern,2020-12-15
0,2020-12-16 10:07:00,2020-12-16 10:59:00,NIFTY17DEC2013600CE,77.8,88.75,-75,-821.2500000000002,SlHit,VolPattern,2020-12-16
